contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
7008_7008_70Z02324FCGRC0001_0_70Z02323ACGRC0001_0,U.S. COAST GUARD,4060486.32,2024-08-01,2025-07-31 12:00:00,Department of Homeland Security,U.S. Coast Guard,,LEMPUGH INC,MARYLAND,DISTRICT OF COLUMBIA,BPA CALL,MARKETING AND ARTIFICIAL INTELLIGENCE SERVICES FOR CGRC,MARKETING AND ARTIFICIAL INTELLIGENCE SERVICES FOR CGRC,SUPPORT- MANAGEMENT: ADVERTISING,ADVERTISING AGENCIES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,,Y,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,t,f,f,f,f,CORPORATE NOT TAX EXEMPT
7001_7001_70RTAC24FC0000013_P00003_70RTAC20A00000003_0,OFFICE OF PROCUREMENT OPERATIONS,1289417.95,2024-03-28,2026-03-27 00:00:00,Department of Homeland Security,Office of the Chief Information Officer,25.1: Advisory and assistance services,"CACI NSS, LLC",VIRGINIA,VIRGINIA,BPA CALL,BPA CALL ORDER FOR ARTIFICIAL INTELLIGENCE SAFETY & SECURITY BOARD (AISSB) AND CHIEF ARTIFICIAL INTELLIGENCE OFFICER (CAIO) SUPPORT.,NEW BPA CALL ORDER FOR ARTIFICIAL INTELLIGENCE SAFETY & SECURITY EXECUTIVE STEERING COMMITTEE (AISSESC) AND CHIEF ARTIFICIAL INTELLIGENCE OFFICER (CAIO) SUPPORT.,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7022_-NONE-_70FBTX23A00000002_P00005_-NONE-_-NONE-,FEDERAL ACQUISITION SERVICE,,2023-06-01,,Department of Homeland Security,Federal Emergency Management Agency,,VOICECAST SYSTEMS INC,ILLINOIS,,,MODIFICATION P00005 UPDATES FEMA ARTIFICIAL INTELLIGENCE CLAUSE ONLY IN ACCORDANCE WITH ACCORDANCE WITH FEMA ACQUISITION ALERT 24-02.,"HOSTED AUTO DIALER SERVICES TO SUPPORT STEADY STATE, EMERGENCY AND DISASTER NOTIFICATIONS.",IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,2.0,N,NOT APPLICABLE,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7022_-NONE-_70FB7023A00000001_P00004_-NONE-_-NONE-,FEDERAL ACQUISITION SERVICE,,2023-10-16,,Department of Homeland Security,Federal Emergency Management Agency,,TRANSPORTATION MANAGEMENT SERVICES INC,MARYLAND,,,MODIFICATION P00004 UPDATES FEMA ARTIFICIAL INTELLIGENCE CLAUSE ONLY IN ACCORDANCE WITH ACCORDANCE WITH FEMA ACQUISITION ALERT 24-02.,GENERAL POPULATION EVACUATION PLANNING AND OPERATIONAL SUPPORT SERVICES,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,1.0,N,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7022_-NONE-_70FB7022D00000027_P00014_-NONE-_-NONE-,,,2022-05-01,,Department of Homeland Security,Federal Emergency Management Agency,,"AMERICAN MEDICAL RESPONSE, INC.",COLORADO,,,MODIFICATION P00014 UPDATES THE FEMA ARTIFICIAL INTELLIGENCE CLAUSE ONLY IN ACCORDANCE WITH ACCORDANCE WITH FEMA ACQUISITION ALERT 24-02.,EMERGENCY MEDICAL SUPPORT SERVICES WITHIN CONTINENTAL UNITED STATES AND TERRITORIES,MEDICAL- OTHER,AMBULANCE SERVICES,ENVIRONMENTALLY PREFERABLE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,2.0,N,YES,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7022_-NONE-_70FB7021D00000022_P00011_-NONE-_-NONE-,,,2021-09-21,,Department of Homeland Security,Federal Emergency Management Agency,,MAG DS CORP,VIRGINIA,,,MODIFICATION P00011 INCORPORATES FEMA ARTIFICIAL INTELLIGENCE CLAUSE ONLY IN ACCORDANCE WITH ACCORDANCE WITH FEMA ACQUISITION ALERT 24-02.,AIR EVACUATION AVIATION GROUND PLANNING AND OPERATIONAL SUPPORT SERVICES THROUGHOUT CONUS AND OCONUS FOR ONE YEAR PLUS FOUR OPTION YEARS,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,OTHER AIRPORT OPERATIONS,ENVIRONMENTALLY PREFERABLE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,2.0,N,NO,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7022_-NONE-_70FB7021D00000021_P00012_-NONE-_-NONE-,,,2021-09-21,,Department of Homeland Security,Federal Emergency Management Agency,,"IEM INTERNATIONAL, INC.",NORTH CAROLINA,,,MODIFICATION P00012 UPDATES FEMA ARTIFICIAL INTELLIGENCE CLAUSE ONLY IN ACCORDANCE WITH ACCORDANCE WITH FEMA ACQUISITION ALERT 24-02.,AIR EVACUATION AVIATION GROUND PLANNING AND OPERATIONAL SUPPORT SERVICES THROUGHOUT CONUS AND OCONUS FOR ONE YEAR PLUS FOUR OPTION YEARS,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,OTHER AIRPORT OPERATIONS,ENVIRONMENTALLY PREFERABLE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,2.0,N,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,t,t,f,f,f,CORPORATE NOT TAX EXEMPT
7001_7001_70RTAC24FR0000059_0_HSHQDC12D00011_0,OFFICE OF PROCUREMENT OPERATIONS,95115.0,2024-06-07,2025-06-06 00:00:00,Department of Homeland Security,Office of the Chief Information Officer,31.0: Equipment,"C & C INTERNATIONAL COMPUTERS & CONSULTANTS, INC.",FLORIDA,VIRGINIA,DELIVERY ORDER,PROCURE MACBOOKS AND PERIPHERAL EQUIPMENT TO SUPPORT THE ARTIFICIAL INTELLIGENCE (AI) MISSION TO SECURE THE HOMELAND FOR THE OFFICE OF THE CHIEF INFORMATION OFFICER (OCIO).,PROCURE MACBOOKS AND PERIPHERAL EQUIPMENT TO SUPPORT THE ARTIFICIAL INTELLIGENCE (AI) MISSION TO SECURE THE HOMELAND FOR THE OFFICE OF THE CHIEF INFORMATION OFFICER (OCIO).,IT AND TELECOM - HIGH PERFORMANCE COMPUTE (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,ENVIRONMENTALLY PREFERABLE,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,2.0,N,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,t,t,t,f,f,CORPORATE NOT TAX EXEMPT
7022_-NONE-_70FBTX23A00000002_P00004_-NONE-_-NONE-,FEDERAL ACQUISITION SERVICE,,2023-06-01,,Department of Homeland Security,Federal Emergency Management Agency,,VOICECAST SYSTEMS INC,ILLINOIS,,,MODIFICATION P00004 INCORPORATES FEMA ARTIFICIAL INTELLIGENCE CLAUSE ONLY IN ACCORDANCE WITH ACCORDANCE WITH FEMA ACQUISITION ALERT 24-01.,"HOSTED AUTO DIALER SERVICES TO SUPPORT STEADY STATE, EMERGENCY AND DISASTER NOTIFICATIONS.",IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,2.0,N,NOT APPLICABLE,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7022_-NONE-_70FB7023A00000001_P00003_-NONE-_-NONE-,FEDERAL ACQUISITION SERVICE,,2023-10-16,,Department of Homeland Security,Federal Emergency Management Agency,,TRANSPORTATION MANAGEMENT SERVICES INC,MARYLAND,,,MODIFICATION P00003 INCORPORATES FEMA ARTIFICIAL INTELLIGENCE CLAUSE ONLY IN ACCORDANCE WITH ACCORDANCE WITH FEMA ACQUISITION ALERT 24-01.,GENERAL POPULATION EVACUATION PLANNING AND OPERATIONAL SUPPORT SERVICES,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,1.0,N,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
