contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
1341_1341_1333ND24FNB770023_P24003_1333ND21DNB770020_0,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,179040.0,2024-01-31,2025-01-30 00:00:00,Department of Commerce,National Institute of Standards and Technology,25.5: Research and development contracts,"CHAKRA CONSULTING, INC.",MARYLAND,MARYLAND,DELIVERY ORDER,MULTI-MODAL ARTIFICIAL INTELLIGENCE EVALUATION LAB ENGINEERING SUPPORT SERVICES,MULTIMODAL ARTIFICIAL INTELLIGENCE EVALUATION LAB ENGINEERING SUPPORT SERVICES,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,1.0,N,NO,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,t,t,f,f,f,CORPORATE NOT TAX EXEMPT
1323_4732_1333LB24F00000146_0_47QTCA23D00C1_0,FEDERAL ACQUISITION SERVICE,3330483.17,2024-07-03,2027-01-02 00:00:00,Department of Commerce,U.S. Census Bureau,,XCELLIGEN INC.,VIRGINIA,MARYLAND,DELIVERY ORDER,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING SUPPORT SERVICES,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING SUPPORT SERVICES,SUPPORT- MANAGEMENT: OTHER,CUSTOM COMPUTER PROGRAMMING SERVICES,FAR 52.223-4 INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,SOLE SOURCE,,1.0,N,NOT APPLICABLE,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,t,t,f,f,f,CORPORATE NOT TAX EXEMPT
1341_4732_1333ND24FNB770162_0_47QTCB21D0005_0,FEDERAL ACQUISITION SERVICE,323943.85,2024-07-01,2025-01-31 00:00:00,Department of Commerce,National Institute of Standards and Technology,25.5: Research and development contracts,"GBS DAKOTA IT, LLC",UTAH,UTAH,DELIVERY ORDER,ARTIFICIAL INTELLIGENCE RED TEAM EVENT SUPPORT SERVICES,ARTIFICIAL INTELLIGENCE RED TEAM EVENT SUPPORT SERVICES,SUPPORT- MANAGEMENT: OTHER,COMPUTER SYSTEMS DESIGN SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,SOLE SOURCE,,1.0,Y,NOT APPLICABLE,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,f,f,f,PARTNERSHIP
1344_-NONE-_1333BJ24C00280005_0_-NONE-_0,,8460604.59,2024-07-01,2029-09-30 00:00:00,Department of Commerce,U.S. Patent and Trademark Office,25.7: Operation and maintenance of equipment,ACCENTURE FEDERAL SERVICES LLC,VIRGINIA,VIRGINIA,DEFINITIVE CONTRACT,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR. THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT.,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR. THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT.,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),CUSTOM COMPUTER PROGRAMMING SERVICES,ENVIRONMENTALLY PREFERABLE,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1.0,Y,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
1341_1341_1333ND22FNB770299_P24003_1333ND20ANB770016_0,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,50703.63,2022-10-01,2024-09-30 00:00:00,Department of Commerce,National Institute of Standards and Technology,25.2: Other services from non-Federal sources,"MEDIA BARN, INC.",VIRGINIA,VIRGINIA,BPA CALL,EXPLORING THE VALIDITY OF TRUST IN AUTOMATION SCALES IN ARTIFICIAL INTELLIGENCE (AI)-BASED VIGNETTES,EXPLORING THE VALIDITY OF TRUST IN AUTOMATION SCALES IN ARTIFICIAL INTELLIGENCE (AI)-BASED VIGNETTES,SUPPORT- PROFESSIONAL: MARKET RESEARCH/PUBLIC OPINION,GRAPHIC DESIGN SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,,N,NOT APPLICABLE,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
1341_1341_1333ND23FNB770245_P24001_1333ND18DNB630011_0,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,78385.64,2023-09-21,2024-09-20 00:00:00,Department of Commerce,National Institute of Standards and Technology,25.2: Other services from non-Federal sources,STRATIVIA LLC,MARYLAND,MARYLAND,DELIVERY ORDER,"SUPPORT SERVICES FOR TECHNICAL WRITING, COPY EDITING AND GUIDANCE ON EFFECTIVELY COMMUNICATING ARTIFICIAL INTELLIGENCE (AI) TECHNOLOGY AND CONCEPTS","SUPPORT SERVICES FOR TECHNICAL WRITING, COPY EDITING AND GUIDANCE ON EFFECTIVELY COMMUNICATING ARTIFICIAL INTELLIGENCE (AI) TECHNOLOGY AND CONCEPTS",GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,,N,NOT APPLICABLE,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,t,f,f,PARTNERSHIP
1344_-NONE-_1333BJ23C00280006_P24006_-NONE-_0,,13293563.31,2023-05-01,2025-07-31 00:00:00,Department of Commerce,U.S. Patent and Trademark Office,25.7: Operation and maintenance of equipment;31.0: Equipment,ACCENTURE FEDERAL SERVICES LLC,VIRGINIA,VIRGINIA,DEFINITIVE CONTRACT,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR. THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT. THIS MODIFICATION IS FOR A ONE MONTH EXTENSION PURSUANT TO FAR 52.217-8.,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR.  THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT.,SUPPORT- PROFESSIONAL: OTHER,COMPUTER SYSTEMS DESIGN SERVICES,ENVIRONMENTALLY PREFERABLE,,NOT COMPETED,ONLY ONE SOURCE,NO PREFERENCE USED,,ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER),1.0,Y,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
1344_-NONE-_1333BJ23C00280006_P24005_-NONE-_0,,12352610.42,2023-05-01,2025-07-31 00:00:00,Department of Commerce,U.S. Patent and Trademark Office,25.7: Operation and maintenance of equipment;31.0: Equipment,ACCENTURE FEDERAL SERVICES LLC,VIRGINIA,VIRGINIA,DEFINITIVE CONTRACT,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR. THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT. THIS MODIFICATION IS FOR A ONE MONTH EXTENSION PURSUANT TO FAR 52.217-8.,PATENT SEARCH ARTIFICIAL INTELLIGENCE MODELS AND LABOR.  THIS ACTION IS AWARDED PURSUANT TO THE USPTO EFFICIENCY ACT.,SUPPORT- PROFESSIONAL: OTHER,COMPUTER SYSTEMS DESIGN SERVICES,ENVIRONMENTALLY PREFERABLE,,NOT COMPETED,ONLY ONE SOURCE,NO PREFERENCE USED,,ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER),1.0,Y,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
1341_1341_1333ND24FNB770023_P24002_1333ND21DNB770020_0,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,120360.0,2024-01-31,2025-01-30 00:00:00,Department of Commerce,National Security Agency/Central Security Service,25.5: Research and development contracts,"CHAKRA CONSULTING, INC.",MARYLAND,MARYLAND,DELIVERY ORDER,MULTIMODAL ARTIFICIAL INTELLIGENCE EVALUATION LAB ENGINEERING SUPPORT SERVICES,MULTIMODAL ARTIFICIAL INTELLIGENCE EVALUATION LAB ENGINEERING SUPPORT SERVICES,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,1.0,N,NO,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,t,t,f,f,f,CORPORATE NOT TAX EXEMPT
1341_1341_1333ND24FNB770023_P24001_1333ND21DNB770020_0,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,120360.0,2024-01-31,2025-01-30 00:00:00,Department of Commerce,National Security Agency/Central Security Service,25.5: Research and development contracts,"CHAKRA CONSULTING, INC.",MARYLAND,MARYLAND,DELIVERY ORDER,MULTIMODAL ARTIFICIAL INTELLIGENCE EVALUATION LAB ENGINEERING SUPPORT SERVICES,MULTIMODAL ARTIFICIAL INTELLIGENCE EVALUATION LAB ENGINEERING SUPPORT SERVICES,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,1.0,N,NO,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,t,t,f,f,f,CORPORATE NOT TAX EXEMPT
