contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
9700_-NONE-_FA945320C0042_P00016_-NONE-_0,,5500975.0,2020-09-15,2025-09-14 00:00:00,Department of Defense,Department of the Air Force,25.5: Research and development contracts,UNIVERSITY OF NEW MEXICO,NEW MEXICO,NEW MEXICO,DEFINITIVE CONTRACT,FUNDING TO BUILD A MACHINE LEARNING TOOLSET TO SPEED UP THE RESPONSE TIME TO ADVERSARY SATELLITE NAVIGATION COUNTERMEASURES.,UNM COSMIAC MACHINE LEARNING TOOLSET,NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION,TWO STEP,NO PREFERENCE USED,,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,OTHER
9700_-NONE-_FA875024CB082_0_-NONE-_0,,1759987.0,2024-05-23,2026-07-22 00:00:00,Department of Defense,Department of the Air Force,,STONEWALL DEFENSE LLC,NEW YORK,NEW YORK,DEFINITIVE CONTRACT,TACTICAL EMPLOYMENT OF AUDIO WITH MOBILE MACHINE LEARNING (TEAM-ML),TACTICAL EMPLOYMENT OF AUDIO WITH MOBILE MACHINE LEARNING (TEAM-ML),NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,33.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,OTHER
9700_-NONE-_FA864924P0617_0_-NONE-_0,,1249975.0,2024-05-24,2026-02-24 00:00:00,Department of Defense,Department of the Air Force,,HOLOS INC,WISCONSIN,WISCONSIN,PURCHASE ORDER,ARTIFICIAL-INTELLIGENCE-ENHANCED VIRTUAL REALITY TRAINING CREATION FOR JUST-IN-TIME MULTI-MISSION AIRMEN PREPAREDNESS,ARTIFICIAL-INTELLIGENCE-ENHANCED VIRTUAL REALITY TRAINING CREATION FOR JUST-IN-TIME MULTI-MISSION AIRMEN PREPAREDNESS,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,198.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_W911QX24D0009_0_-NONE-_-NONE-,,,2024-05-21,,Department of Defense,Department of the Army,,CARNEGIE MELLON UNIVERSITY,PENNSYLVANIA,,,"BROAD AGENCY ANNOUNCEMENT (BAA) INDEFINITE DELIVERY, INDEFINITE QUANTITY (IDIQ) CONTRACT FOR RESEARCH AND DEVELOPMENT OF ACCELERATING EDGE INTELLIGENCE THROUGH THE CONFLUENCE OF SENSING, ROBOTICS, AUTONOMY, AND ARTIFICIAL INTELLIGENCE.","BROAD AGENCY ANNOUNCEMENT (BAA) INDEFINITE DELIVERY, INDEFINITE QUANTITY (IDIQ) CONTRACT FOR RESEARCH AND DEVELOPMENT OF ACCELERATING EDGE INTELLIGENCE THROUGH THE CONFLUENCE OF SENSING, ROBOTICS, AUTONOMY, AND ARTIFICIAL INTELLIGENCE.",NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,BASIC RESEARCH,NO PREFERENCE USED,,,999.0,N,NOT APPLICABLE,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE TAX EXEMPT
9700_-NONE-_W911QX23C0003_P00005_-NONE-_0,,2687476.83,2023-05-23,2027-05-23 00:00:00,Department of Defense,Department of the Army,25.1: Advisory and assistance services,CALNET INC,VIRGINIA,MARYLAND,DEFINITIVE CONTRACT,EXERCISE OF OPTION CLIN 0003 FOR INTELLIGENCE/MACHINE LEARNING R&D SERVICES,ARTIFICIAL INTELLIGENCE/MACHINE LEARNING - BASE YEAR PLUS THREE (3) OPTION YEARS,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,3.0,N,NOT APPLICABLE,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA875024CB037_0_-NONE-_0,,6872393.0,2024-05-21,2028-07-20 00:00:00,Department of Defense,Department of the Air Force,,"CACI, INC. - FEDERAL",VIRGINIA,VIRGINIA,DEFINITIVE CONTRACT,PLANNING AND ARTIFICIAL INTELLIGENCE MODEL SHARING,PLANNING AND ARTIFICIAL INTELLIGENCE MODEL SHARING,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,2.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0891_0_-NONE-_0,,74956.0,2024-05-21,2024-08-23 00:00:00,Department of Defense,Department of the Air Force,,MIXMODE INC,CALIFORNIA,CALIFORNIA,PURCHASE ORDER,SBIR PHASE I FX245-PCSO2-0171- ENHANCING CYBERSECURITY AT THE TACTICAL EDGE WITH THIRD-WAVE ARTIFICIAL INTELLIGENCE,SBIR PHASE I FX245-PCSO2-0171- ENHANCING CYBERSECURITY AT THE TACTICAL EDGE WITH THIRD-WAVE ARTIFICIAL INTELLIGENCE,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,190.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0918_0_-NONE-_0,,74964.0,2024-05-15,2024-08-19 00:00:00,Department of Defense,Department of the Air Force,,"GLOBAL TECHNOLOGY CONNECTION, INC.",GEORGIA,GEORGIA,PURCHASE ORDER,SBIR PHASE I FX245-PCSO2-1144 - SIREN: SEISMIC ARTIFICIAL-INTELLIGENCE FOR ROCKET-LAUNCH EVENT NOTIFICATION,SBIR PHASE I FX245-PCSO2-1144 - SIREN: SEISMIC ARTIFICIAL-INTELLIGENCE FOR ROCKET-LAUNCH EVENT NOTIFICATION,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,190.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0877_0_-NONE-_0,,109551.0,2024-05-16,2024-08-19 00:00:00,Department of Defense,Department of the Air Force,,"WAVEYE, INC.",CALIFORNIA,CALIFORNIA,PURCHASE ORDER,ROBUST DYNAMIC ENVIRONMENT SENSING FOR AUTONOMOUS ROBOTS WITH ARTIFICIAL INTELLIGENCE DRIVEN FOUR-DIMENSIONAL IMAGING RADARS,ROBUST DYNAMIC ENVIRONMENT SENSING FOR AUTONOMOUS ROBOTS WITH ARTIFICIAL INTELLIGENCE DRIVEN FOUR-DIMENSIONAL IMAGING RADARS,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,494.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
9700_-NONE-_FA864924P0716_0_-NONE-_0,,60000.0,2024-05-17,2024-08-19 00:00:00,Department of Defense,Department of the Air Force,,ZCORE GROUP LLC,VIRGINIA,VIRGINIA,PURCHASE ORDER,ENHANCING MEDICAL COMMUNICATION EFFICIENCY AND COMPLIANCE THROUGH ZCRIPT ARTIFICIAL INTELLIGENCE: A SOLUTION FOR STREAMLINED DOCUMENTATION AND ANALYSIS,ENHANCING MEDICAL COMMUNICATION EFFICIENCY AND COMPLIANCE THROUGH ZCRIPT ARTIFICIAL INTELLIGENCE: A SOLUTION FOR STREAMLINED DOCUMENTATION AND ANALYSIS,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,999.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,SOLE PROPRIETORSHIP
