contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
8900_8900_89243320FFE400258_P00013_89243320DFE000013_0,"ENERGY, DEPARTMENT OF",14842880.0,2020-09-17,2023-05-08 00:00:00,Department of Energy,Department of Energy,32.0: Land and structures,"GOLDBELT OPERATIONS SUPPORT SERVICES, LLC",WASHINGTON,WEST VIRGINIA,DELIVERY ORDER,CENTER FOR DATA ANALYTICS AND MACHINE LEARNING (NETL B83 CDAML)PROJECT  MODIFICATION 013 - SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,CENTER FOR DATA ANALYTICS AND MACHINE LEARNING (NETL B83 CDAML)PROJECT,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,ENVIRONMENTALLY PREFERABLE,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),,N,YES,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,f,f,t,CORPORATE NOT TAX EXEMPT
8900_8900_89303022FFE000030_P00001_89303022AFE000003_0,"ENERGY, DEPARTMENT OF",380000.0,2022-05-13,2027-01-31 00:00:00,Department of Energy,Department of Energy,25.1: Advisory and assistance services,"LEONARDO TECHNOLOGIES, INC.",OHIO,DISTRICT OF COLUMBIA,BPA CALL,CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,,N,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
8900_8900_89243320FFE400258_P00014_89243320DFE000013_0,"ENERGY, DEPARTMENT OF",14936400.0,2020-09-17,2023-05-08 00:00:00,Department of Energy,Department of Energy,32.0: Land and structures,"GOLDBELT OPERATIONS SUPPORT SERVICES, LLC",WASHINGTON,WEST VIRGINIA,DELIVERY ORDER,CENTER FOR DATA ANALYTICS AND MACHINE LEARNING (NETL B83 CDAML) PROJECT  MODIFICATION 014 - SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,CENTER FOR DATA ANALYTICS AND MACHINE LEARNING (NETL B83 CDAML)PROJECT,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,ENVIRONMENTALLY PREFERABLE,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),,N,YES,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,f,f,t,CORPORATE NOT TAX EXEMPT
8900_8900_89303022FFE000030_P00002_89303022AFE000003_0,"ENERGY, DEPARTMENT OF",380000.0,2022-05-13,2027-01-31 00:00:00,Department of Energy,Department of Energy,25.1: Advisory and assistance services,"LEONARDO TECHNOLOGIES, INC.",OHIO,DISTRICT OF COLUMBIA,BPA CALL,CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,,N,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
8900_8900_89243320FFE400258_P00015_89243320DFE000013_0,"ENERGY, DEPARTMENT OF",15576556.0,2020-09-17,2024-05-01 00:00:00,Department of Energy,Department of Energy,32.0: Land and structures,"GOLDBELT OPERATIONS SUPPORT SERVICES, LLC",WASHINGTON,WEST VIRGINIA,DELIVERY ORDER,CENTER FOR DATA ANALYTICS AND MACHINE LEARNING (NETL B83 CDAML) PROJECT  MODIFICATION 015 - SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,CENTER FOR DATA ANALYTICS AND MACHINE LEARNING (NETL B83 CDAML)PROJECT,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,ENVIRONMENTALLY PREFERABLE,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),,N,YES,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,f,f,t,CORPORATE NOT TAX EXEMPT
8900_8900_89303022FFE000030_P00003_89303022AFE000003_0,"ENERGY, DEPARTMENT OF",380000.0,2022-05-13,2027-01-31 00:00:00,Department of Energy,Department of Energy,25.1: Advisory and assistance services,"LEONARDO TECHNOLOGIES, INC.",OHIO,DISTRICT OF COLUMBIA,BPA CALL,INCREMENTAL FUNDING INCREASE FOR CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,,N,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
8900_8900_89303022FFE000030_P00004_89303022AFE000003_0,"ENERGY, DEPARTMENT OF",230000.0,2022-05-13,2027-01-31 00:00:00,Department of Energy,Department of Energy,25.1: Advisory and assistance services,"LEONARDO TECHNOLOGIES, INC.",OHIO,DISTRICT OF COLUMBIA,BPA CALL,INCREMENTAL FUNDING INCREASE FOR CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,,N,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
8900_8900_89243320FFE400258_P00016_89243320DFE000013_0,"ENERGY, DEPARTMENT OF",15884395.0,2020-09-17,2024-05-01 00:00:00,Department of Energy,Department of Energy,32.0: Land and structures,"GOLDBELT OPERATIONS SUPPORT SERVICES, LLC",WASHINGTON,WEST VIRGINIA,DELIVERY ORDER,CENTER FOR DATA ANALYTICS AND MACHINE LEARNING (NETL B83 CDAML) PROJECT  MODIFICATION 016 - SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,CENTER FOR DATA ANALYTICS AND MACHINE LEARNING (NETL B83 CDAML)PROJECT,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,ENVIRONMENTALLY PREFERABLE,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),,N,YES,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,f,f,t,CORPORATE NOT TAX EXEMPT
8900_8900_89303022FFE000030_P00005_89303022AFE000003_0,"ENERGY, DEPARTMENT OF",230000.0,2022-05-13,2027-01-31 00:00:00,Department of Energy,Department of Energy,25.1: Advisory and assistance services,"LEONARDO TECHNOLOGIES, INC.",OHIO,DISTRICT OF COLUMBIA,BPA CALL,INCREMENTAL FUNDING INCREASE FOR CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,,N,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
8900_8900_89303022FFE000030_P00006_89303022AFE000003_0,"ENERGY, DEPARTMENT OF",380000.0,2022-05-13,2027-01-31 00:00:00,Department of Energy,Department of Energy,25.1: Advisory and assistance services,"LEONARDO TECHNOLOGIES, INC.",OHIO,DISTRICT OF COLUMBIA,BPA CALL,EXERCISE OPTION PERIOD 2 FOR CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,CALL 5: OFFICE OF OPERATIONS (FE-10) DIVISION SUPPORT ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) INTEGRATED DEVELOPMENT ENVIRONMENT (IDE) STRATEGIC PLAN AND ACTION PLAN IMPLEMENTATION SUPPORT SUBTASK.,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,,N,NOT APPLICABLE,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
