contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
1406_-NONE-_140D0419C0022_P00004_-NONE-_0,,74993.58,2019-02-04,2019-05-03 00:00:00,Department of the Interior,Defense Advanced Research Projects Agency,25.5: Research and development contracts,EPISYS SCIENCE INC,CALIFORNIA,CALIFORNIA,DEFINITIVE CONTRACT,"""MACHINE LEARNING FOR DEFENSE APPLICATIONS""","IGF::OT::IGF  TACTICALAI, ARTIFICIAL INTELLIGENCE, MACHINE LEARNING, SURPRISE BASED LEARNING, ANOMALY DETECTION, UNCERTAINTY ESTIMATION, HUMAN-AI INTERACTION",R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,235.0,N,NO,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,t,t,f,f,f,CORPORATE NOT TAX EXEMPT
1406_-NONE-_140D0419C0047_P00013_-NONE-_0,,21773605.21,2019-03-22,2022-03-21 00:00:00,Department of the Interior,Washington Headquarters Services,25.2: Other services from non-Federal sources,TUKNIK GOVERNMENT SERVICES LLC,ALASKA,VIRGINIA,DEFINITIVE CONTRACT,"INFORMATION TECHNOLOGY, ARTIFICIAL INTELLIGENCE, AND MACHINE LEARNING PROGRAMMATIC SUPPORT SERVICES","INFORMATION TECHNOLOGY, ARTIFICIAL INTELLIGENCE, AND MACHINE LEARNING PROGRAMMATIC SUPPORT SERVICES",SUPPORT- PROFESSIONAL: OTHER,COMPUTER SYSTEMS DESIGN SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,t,f,f,t,OTHER
1406_-NONE-_140D0422C0002_P00004_-NONE-_0,,17287644.56,2022-03-03,2027-03-02 00:00:00,Department of the Interior,Department of the Air Force,25.5: Research and development contracts,CFD RESEARCH CORPORATION,ALABAMA,ALABAMA,DEFINITIVE CONTRACT,MACHINE LEARNING FOR OPEN SYSTEMS,MACHINE LEARNING FOR OPEN SYSTEMS,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
1406_-NONE-_140D0422C0002_P00005_-NONE-_0,,16525972.0,2022-03-03,2027-03-02 00:00:00,Department of the Interior,Defense Advanced Research Projects Agency,25.5: Research and development contracts,CFD RESEARCH CORPORATION,ALABAMA,ALABAMA,DEFINITIVE CONTRACT,MACHINE LEARNING FOR OPEN SYSTEMS,MACHINE LEARNING FOR OPEN SYSTEMS,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
1422_1406_140L0623F0104_0_140D0420A0007_0,DEPARTMENTAL OFFICES,10877.58,2023-05-30,2024-05-31 00:00:00,Department of the Interior,Bureau of Land Management,31.0: Equipment,"NV5 GEOSPATIAL SOLUTIONS, INC.",COLORADO,COLORADO,BPA CALL,"10 ENVI LICENSES: 2 ENVI+IDL LICENSES; 4 ENVI LICENSES; 1 ENVI ATMOSPHERIC CORRECTION MODULE; 2 DEEP LEARNING MODULES, AND 1 NITF MODULE.","10 ENVI LICENSES: 2 ENVI+IDL LICENSES; 4 ENVI LICENSES; 1 ENVI ATMOSPHERIC CORRECTION MODULE; 2 DEEP LEARNING MODULES, AND 1 NITF MODULE.",IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,ONLY ONE SOURCE - OTHER,,,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
1406_1406_140D0423F0711_0_140D0421D0005_0,DEPARTMENTAL OFFICES,758884.32,2023-06-26,2024-06-25 00:00:00,Department of the Interior,National Institutes of Health,25.1: Advisory and assistance services,BOOZ ALLEN HAMILTON INC,VIRGINIA,MARYLAND,DELIVERY ORDER,CANCER RESEARCH DATA COMMONS (CRDC) ARTIFICIAL INTELLIGENCE DATA READINESS (AIDR),CANCER RESEARCH DATA COMMONS (CRDC) ARTIFICIAL INTELLIGENCE DATA READINESS (AIDR),IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,2.0,Y,NO,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
1406_-NONE-_140D0422C0002_P00006_-NONE-_0,,17287644.56,2022-03-03,2027-03-02 00:00:00,Department of the Interior,Defense Advanced Research Projects Agency,25.5: Research and development contracts,CFD RESEARCH CORPORATION,ALABAMA,ALABAMA,DEFINITIVE CONTRACT,MACHINE LEARNING FOR OPEN SYSTEMS,MACHINE LEARNING FOR OPEN SYSTEMS,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
1406_-NONE-_140D0423C0064_0_-NONE-_0,,999999.0,2023-08-07,2025-08-06 00:00:00,Department of the Interior,Defense Advanced Research Projects Agency,25.5: Research and development contracts,HYPERCOMP INC,CALIFORNIA,CALIFORNIA,DEFINITIVE CONTRACT,ENHANCE THE SOFTWARE TOOLS TO INCLUDE ADVANCE MACHINE LEARNING ALGORITHMS FOR EITHER ACCELERATED THERMO-CHEMISTRY COMPUTATIONS OR FOR THE DEVELOPMENT OF SUB-GRID COMBUSTION MODELS. DEVELOP NEW LES MODELING APPROACHES TO INCLUDE WALL MODELS TO ENHANCE,ENHANCE THE SOFTWARE TOOLS TO INCLUDE ADVANCE MACHINE LEARNING ALGORITHMS FOR EITHER ACCELERATED THERMO-CHEMISTRY COMPUTATIONS OR FOR THE DEVELOPMENT OF SUB-GRID COMBUSTION MODELS. DEVELOP NEW LES MODELING APPROACHES TO INCLUDE WALL MODELS TO ENHANCE,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,t,f,f,f,f,CORPORATE NOT TAX EXEMPT
1406_-NONE-_140D0423C0064_P00001_-NONE-_0,,999999.0,2023-08-07,2025-08-06 00:00:00,Department of the Interior,Defense Advanced Research Projects Agency,25.5: Research and development contracts,HYPERCOMP INC,CALIFORNIA,CALIFORNIA,DEFINITIVE CONTRACT,ENHANCE THE SOFTWARE TOOLS TO INCLUDE ADVANCE MACHINE LEARNING ALGORITHMS FOR EITHER ACCELERATED THERMO-CHEMISTRY COMPUTATIONS OR FOR THE DEVELOPMENT OF SUB-GRID COMBUSTION MODELS. DEVELOP NEW LES MODELING APPROACHES TO INCLUDE WALL MODELS TO ENHANCE,ENHANCE THE SOFTWARE TOOLS TO INCLUDE ADVANCE MACHINE LEARNING ALGORITHMS FOR EITHER ACCELERATED THERMO-CHEMISTRY COMPUTATIONS OR FOR THE DEVELOPMENT OF SUB-GRID COMBUSTION MODELS. DEVELOP NEW LES MODELING APPROACHES TO INCLUDE WALL MODELS TO ENHANCE,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,t,f,f,f,f,CORPORATE NOT TAX EXEMPT
1406_-NONE-_140D0422C0002_P00007_-NONE-_0,,16525972.0,2022-03-03,2027-03-02 00:00:00,Department of the Interior,Department of the Air Force,25.5: Research and development contracts,CFD RESEARCH CORPORATION,ALABAMA,ALABAMA,DEFINITIVE CONTRACT,MACHINE LEARNING FOR OPEN SYSTEMS,MACHINE LEARNING FOR OPEN SYSTEMS,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
