contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
6920_6920_693KA921F00255_P00006_693KA921D00004_0,FEDERAL AVIATION ADMINISTRATION,2094756.44,2021-09-23,2027-12-31 00:00:00,Department of Transportation,Federal Aviation Administration,25.1: Advisory and assistance services,"OASIS SYSTEMS, LLC",MASSACHUSETTS,DISTRICT OF COLUMBIA,DELIVERY ORDER,"MOD #6/ADMIN MOD TO CHANGE COR TO NATALIE PETERSON (AJM)-PSS - UAS TRAFFIC MANAGEMENT, (UTM) MACHINE LEARNING (ML)/ARTIFICIAL INTELLIGENCE (AI), & INNOVATIVE TECHNOLOGIES / ANG 54","IAW THE ATTACHED SOW:  THIS EFFORT ALSO PROVIDES SUPPORT FOR THE ENTERPRISE PROTOCOL AND EXCHANGE MODELS WITH TECHNICAL ANALYSIS SUPPORT, SYSTEM ENGINEERING SUPPORT, AND OTHER SUPPORT WITH RESPECT TO DETERMINING, DOCUMENTING, AND OVERSEEING AN ENTERP",SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ENGINEERING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,1.0,N,NO,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,OTHER
6930_-NONE-_693JJ620C000013_P00003_-NONE-_0,,395000.0,2020-06-18,2023-12-18 00:00:00,Department of Transportation,Federal Railroad Administration,25.5: Research and development contracts,UNIVERSITY OF SOUTH CAROLINA,SOUTH CAROLINA,SOUTH CAROLINA,DEFINITIVE CONTRACT,"THE OBJECTIVE OF THIS PROJECT IS TO DEVELOP AN INTELLIGENT RISK ASSESSMENT AND PREDICTION SYSTEM (I-RAPS) THAT WILL INTEGRATE SELF-LEARNING ARTIFICIAL INTELLIGENCE AND DEEP NEURAL NETWORK DECISION-MAKING MODELS, TRACK INSPECTION DATA, VEHICLE INFORMA","THE OBJECTIVE OF THIS PROJECT IS TO DEVELOP AN INTELLIGENT RISK ASSESSMENT AND PREDICTION SYSTEM (I-RAPS) THAT WILL INTEGRATE SELF-LEARNING ARTIFICIAL INTELLIGENCE AND DEEP NEURAL NETWORK DECISION-MAKING MODELS, TRACK INSPECTION DATA, VEHICLE INFORMA",TRANSPORTATION R&D SERVICES; WATER TRANSPORTATION; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,BASIC RESEARCH,NO PREFERENCE USED,,,43.0,N,NO,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,OTHER
6940_6940_693JJ921F000136_P00003_693JJ921D000017_0,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,497052.0,2021-09-13,2024-03-12 00:00:00,Department of Transportation,National Highway Traffic Safety Administration,25.5: Research and development contracts,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,VIRGINIA,VIRGINIA,DELIVERY ORDER,INTRODUCTORY RESEARCH INTO ARTIFICIAL INTELLIGENCE USES IN  ADAS AND ADS TECHNOLOGIES,"THIS IS A NEW TASK ORDER. POP BEING 18 MONTHS TO PERFORM  RESEARCH AND ANALYSIS OF THE AVAILABLE SOURCES, DEVELOPMENTS, AND PRACTICES  INTO THE USES OF ARTIFICIAL INTELLIGENCE IN ADVANCED DRIVER ASSISTANCE AND AUTOMATED DRIVING  TECHNOLOGIES.  A","TRANSPORTATION R&D SERVICES; SURFACE TRANSPORTATION, PUBLIC TRANSIT, AND RAIL; BASIC RESEARCH",TESTING LABORATORIES AND SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,,N,NO,YES,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,US GOVERNMENT ENTITY
6930_-NONE-_693JJ620C000028_P00003_-NONE-_0,,282914.0,2020-08-17,2023-04-21 00:00:00,Department of Transportation,Federal Railroad Administration,25.5: Research and development contracts,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,VIRGINIA,VIRGINIA,DEFINITIVE CONTRACT,THE OBJECTIVE OF THIS PROJECT IS TO DEVELOP A DATA ANALYSIS PLATFORM TO FACILITATE THE ASSESSMENT OF DEFECT DETECTION ON TRACK SYSTEMS BY (1) INVESTIGATING MACHINE LEARNING TECHNIQUES TO ENHANCE AUTOMATION AND FACILITATE REDUCED MANUAL LABOR FOR TRAC,THE OBJECTIVE OF THIS PROJECT IS TO DEVELOP A DATA ANALYSIS PLATFORM TO FACILITATE THE ASSESSMENT OF DEFECT DETECTION ON TRACK SYSTEMS BY (1) INVESTIGATING MACHINE LEARNING TECHNIQUES TO ENHANCE AUTOMATION AND FACILITATE REDUCED MANUAL LABOR FOR TRAC,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,BASIC RESEARCH,NO PREFERENCE USED,,,43.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,US GOVERNMENT ENTITY
6901_-NONE-_6913G623C100006_0_-NONE-_0,,497365.0,2023-06-09,2025-06-09 00:00:00,Department of Transportation,Immediate Office of the Secretary of Transportation,25.1: Advisory and assistance services,AIWAYSION INC,WASHINGTON,WASHINGTON,DEFINITIVE CONTRACT,SMALL BUSINESS INNOVATION RESEARCH (SBIR) FY22 PHASE 2 AWARD ON U.S. DOT SBIR TOPIC 22-FH2 FOR EDGE SERVER-BASED ARTIFICIAL INTELLIGENCE APPLICATION FOR DILEMMA ZONE & TRAFFIC CONFLICT EVENTS DETECTION,SMALL BUSINESS INNOVATION RESEARCH (SBIR) FY22 PHASE 2 AWARD ON U.S. DOT SBIR TOPIC 22-FH2 FOR EDGE SERVER-BASED ARTIFICIAL INTELLIGENCE APPLICATION FOR DILEMMA ZONE & TRAFFIC CONFLICT EVENTS DETECTION,"TRANSPORTATION R&D SVCS; SURFACE TRANSPORTATION, PUBLIC TRANSIT, & RAIL; EXPERIMENTAL DEVELOPMENT","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",FAR 52.223-4 & ENERGY EFFICIENT,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
6920_-NONE-_692M1523P00044_0_-NONE-_0,,165000.0,2023-07-03,2023-12-30 00:00:00,Department of Transportation,Federal Aviation Administration,25.1: Advisory and assistance services,DEEP AI SOLUTIONS LLC,NEW JERSEY,NEW JERSEY,PURCHASE ORDER,PROCUREMENT FOR THE DEVELOPMENT AND IMPLEMENTATION OF A MACHINE LEARNING/ARTIFICIAL INTELLIGENCE MODEL TO DETECT AND DISCOVER ANOMALIES AND VULNERABILITIES FOR ASIAS PROGRAM.,PROCUREMENT FOR THE DEVELOPMENT AND IMPLEMENTATION OF A MACHINE LEARNING/ARTIFICIAL INTELLIGENCE MODEL TO DETECT AND DISCOVER ANOMALIES AND VULNERABILITIES FOR ASIAS PROGRAM.,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),SOFTWARE PUBLISHERS,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO PREFERENCE USED,,SAP NON-COMPETITION (FAR 13),1.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,t,f,f,f,f,SOLE PROPRIETORSHIP
6930_-NONE-_693JJ620C000013_P00004_-NONE-_0,,395000.0,2020-06-18,2023-12-18 00:00:00,Department of Transportation,Federal Railroad Administration,25.5: Research and development contracts,UNIVERSITY OF SOUTH CAROLINA,SOUTH CAROLINA,SOUTH CAROLINA,DEFINITIVE CONTRACT,"THE OBJECTIVE OF THIS PROJECT IS TO DEVELOP AN INTELLIGENT RISK ASSESSMENT AND PREDICTION SYSTEM (I-RAPS) THAT WILL INTEGRATE SELF-LEARNING ARTIFICIAL INTELLIGENCE AND DEEP NEURAL NETWORK DECISION-MAKING MODELS, TRACK INSPECTION DATA, VEHICLE INFORMA","THE OBJECTIVE OF THIS PROJECT IS TO DEVELOP AN INTELLIGENT RISK ASSESSMENT AND PREDICTION SYSTEM (I-RAPS) THAT WILL INTEGRATE SELF-LEARNING ARTIFICIAL INTELLIGENCE AND DEEP NEURAL NETWORK DECISION-MAKING MODELS, TRACK INSPECTION DATA, VEHICLE INFORMA",TRANSPORTATION R&D SERVICES; WATER TRANSPORTATION; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,BASIC RESEARCH,NO PREFERENCE USED,,,43.0,N,NO,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,OTHER
6930_-NONE-_693JJ622C000009_P00001_-NONE-_0,,166131.16,2022-07-15,2024-07-06 00:00:00,Department of Transportation,Federal Railroad Administration,25.5: Research and development contracts,UNIVERSITY OF MASSACHUSETTS,MASSACHUSETTS,MASSACHUSETTS,DEFINITIVE CONTRACT,MACHINE LEARNING-BASED ANALYSIS OF THE NEED FOR RAILWAY TRACK MAINTENANCE,MACHINE LEARNING-BASED ANALYSIS OF THE NEED FOR RAILWAY TRACK MAINTENANCE,"TRANSPORTATION R&D SERVICES; SURFACE TRANSPORTATION, PUBLIC TRANSIT, AND RAIL; BASIC RESEARCH",RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,BASIC RESEARCH,NO PREFERENCE USED,,,1.0,N,NO,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,US GOVERNMENT ENTITY
6920_6920_692M1522F00155_P00002_DTFACT14D00004_0,FEDERAL AVIATION ADMINISTRATION,1000000.0,2022-08-10,2024-09-30 00:00:00,Department of Transportation,Federal Aviation Administration,25.1: Advisory and assistance services,GEORGIA TECH RESEARCH CORP,GEORGIA,GEORGIA,DELIVERY ORDER,ARTIFICIAL INTELLIGENCE AND ADVANCED ANALYTICS TO ESTIMATE COLLISION RISK DURING DEPARTURE AND ARRIVAL.,ARTIFICIAL INTELLIGENCE AND ADVANCED ANALYTICS TO ESTIMATE COLLISION RISK DURING DEPARTURE AND ARRIVAL.,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUCATION SVCS R&D; APPLIED RESEARCH","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO PREFERENCE USED,,SAP NON-COMPETITION (FAR 13),,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE TAX EXEMPT
6957_6925_693JK323F00034N_0_693JJ320A000016_0,FEDERAL HIGHWAY ADMINISTRATION,398926.4,2023-08-31,2024-03-31 00:00:00,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,25.1: Advisory and assistance services;25.7: Operation and maintenance of equipment;31.0: Equipment,INCENTIVE TECHNOLOGY GROUP LLC,VIRGINIA,DISTRICT OF COLUMBIA,BPA CALL,PHMSA'S ARTIFICIAL INTELLIGENCE SUPPORT FOR RULEMAKING INITIATIVE,PHMSA'S ARTIFICIAL INTELLIGENCE SUPPORT FOR RULEMAKING INITIATIVE,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),COMPUTER FACILITIES MANAGEMENT SERVICES,ENVIRONMENTALLY PREFERABLE,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
