contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
7524_7524_75F40124F19030_0_75F40121A00023_0,FOOD AND DRUG ADMINISTRATION,122404.39,2024-08-14,2024-11-28 00:00:00,Department of Health and Human Services,Food and Drug Administration,,"PRECISE SOFTWARE SOLUTIONS, INC.",MARYLAND,MARYLAND,BPA CALL,STRATEGY FOR CONVERSATIONAL ARTIFICIAL INTELLIGENCE (AI) TO IMPROVE THE CUSTOMER EXPERIENCE,STRATEGY FOR CONVERSATIONAL ARTIFICIAL INTELLIGENCE (AI) TO IMPROVE THE CUSTOMER EXPERIENCE,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),CUSTOM COMPUTER PROGRAMMING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,,N,NOT APPLICABLE,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7529_-NONE-_75N91023C00023_P00002_-NONE-_0,,455000.0,2023-08-15,2025-02-14 00:00:00,Department of Health and Human Services,National Institutes of Health,25.2: Other services from non-Federal sources,CARINA MEDICAL LLC,KENTUCKY,KENTUCKY,DEFINITIVE CONTRACT,TOPIC 454 - SOFTWARE TO EVALUATE ARTIFICIAL INTELLIGENCE/MACHINE LEARNING MEDICAL DEVICES IN ONCOLOGY SETTINGS: A STANDARDIZED EVALUATION TOOL FOR AI IMAGE SEGMENTATION,TOPIC 454 - SOFTWARE TO EVALUATE ARTIFICIAL INTELLIGENCE/MACHINE LEARNING MEDICAL DEVICES IN ONCOLOGY SETTINGS,HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,3.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
7524_-NONE-_75F40122C00121_P00003_-NONE-_0,,494060.0,2022-09-27,2025-09-29 00:00:00,Department of Health and Human Services,Food and Drug Administration,25.5: Research and development contracts,DREXEL UNIVERSITY,PENNSYLVANIA,PENNSYLVANIA,DEFINITIVE CONTRACT,BAA PMQWP 353 - MACHINE-LEARNING BASED HETEROGENEOUS TREATMENT EFFECT MODELS FOR PRIORITIZING PRODUCT-SPECIFIC GUIDANCE DEVELOPMENT,BAA PMQWP 353 - MACHINE-LEARNING BASED HETEROGENEOUS TREATMENT EFFECT MODELS FOR PRIORITIZING PRODUCT-SPECIFIC GUIDANCE DEVELOPMENT,HEALTH R&D SERVICES; HEALTH CARE SERVICES; BASIC RESEARCH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,165.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE TAX EXEMPT
7530_7530_75FCMC23F0001_P00001_75FCMC22A0018_0,CENTERS FOR MEDICARE AND MEDICAID SERVICES,3761190.0,2023-09-28,2027-09-27 00:00:00,Department of Health and Human Services,Centers for Medicare and Medicaid Services,25.2: Other services from non-Federal sources,INDEX ANALYTICS LLC,MARYLAND,MARYLAND,BPA CALL,ARTIFICIAL INTELLIGENCE THROUGH MACHINE LEARNED MODELING (AIMM),ARTIFICIAL INTELLIGENCE THROUGH MACHINE LEARNED MODELING (AIMM),IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),CUSTOM COMPUTER PROGRAMMING SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,,N,NOT APPLICABLE,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,t,f,f,f,CORPORATE NOT TAX EXEMPT
7529_7529_75N93024F00005_0_75N93023D00001_0,NATIONAL INSTITUTES OF HEALTH,1193090.0,2024-08-01,2025-07-31 00:00:00,Department of Health and Human Services,National Institutes of Health,,"ADVANCED BIOSCIENCE LABORATORIES, INC.",MARYLAND,MARYLAND,DELIVERY ORDER,USE OF ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) TO ENHANCE THE STEP PEDIATRIC EXCIPIENT DATABASE,USE OF ARTIFICIAL INTELLIGENCE/MACHINE LEARNING (AI/ML) TO ENHANCE THE STEP PEDIATRIC EXCIPIENT DATABASE,HEALTH R&D SERVICES; HEALTH CARE SERVICES; BASIC RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,FAIR OPPORTUNITY GIVEN,,1.0,N,NO,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7505_-NONE-_75A50124C00024_P00001_-NONE-_0,,747499.0,2024-06-21,2025-07-23 00:00:00,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,25.1: Advisory and assistance services,BUGSEQ INC.,CALIFORNIA,DELAWARE,DEFINITIVE CONTRACT,THE CONTRACTOR SHALL PROVIDE DEVELOPMENT AND CLINICAL VALIDATION FROM METAGENOMICS DATA USING AI AND MACHINE LEARNING TECHNIQUES.,THE CONTRACTOR SHALL PROVIDE DEVELOPMENT AND CLINICAL VALIDATION FROM METAGENOMICS DATA USING AI AND MACHINE LEARNING TECHNIQUES.,HEALTH R&D SERVICES; HEALTH CARE SERVICES; R&D ADMINISTRATIVE EXPENSES,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",ENVIRONMENTALLY PREFERABLE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7505_-NONE-_75A50121C00043_P00008_-NONE-_0,,749000.0,2021-04-30,2024-07-31 00:00:00,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,25.1: Advisory and assistance services,"AGILEMD, INC",CALIFORNIA,CALIFORNIA,DEFINITIVE CONTRACT,"EO14042 AGILEMD - THE OVERALL OBJECTIVE OF THIS CONTRACT IS TO FAST TRACK THE DEVELOPMENT AND DEPLOYMENT OF ECART, A CLINICAL DECISION SUPPORT TOOL THAT COMBINES A REAL-TIME MACHINE LEARNING ALGORITHM, WITHIN THE ELECTRONIC HEALTH RECORD OF TEN INITI","THE OVERALL OBJECTIVE OF THIS CONTRACT IS TO FAST TRACK THE DEVELOPMENT AND DEPLOYMENT OF ECART, A CLINICAL DECISION SUPPORT TOOL THAT COMBINES A REAL-TIME MACHINE LEARNING ALGORITHM, WITHIN THE ELECTRONIC HEALTH RECORD OF TEN INITIAL PARTNER HOSPITA",IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY),NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,20.0,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7529_-NONE-_75N91023C00045_P00001_-NONE-_0,,3480980.0,2023-09-18,2025-09-17 00:00:00,Department of Health and Human Services,National Institutes of Health,25.2: Other services from non-Federal sources,BELLETORUS CORPORATION,MASSACHUSETTS,MASSACHUSETTS,DEFINITIVE CONTRACT,"ARPA-H O1 SBIR PHASE II - NOVEL TELEHEALTH INSTRUMENTS FOR ASSESSING PEDIATRIC WELL-BEING.   PROJECT TITLE: DIGITAL ASSESSMENT OF CHILDREN'S CONDITIONS USING ARTIFICIAL INTELLIGENCE (""DACCS AI"")","ARPA-H O1 SBIR PHASE II - NOVEL TELEHEALTH INSTRUMENTS FOR ASSESSING PEDIATRIC WELL-BEING.   PROJECT TITLE: DIGITAL ASSESSMENT OF CHILDREN'S CONDITIONS USING ARTIFICIAL INTELLIGENCE (""DACCS AI"")",HEALTH R&D SERVICES; HEALTH CARE SERVICES; EXPERIMENTAL DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,7.0,N,NO,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7505_-NONE-_75A50124C00024_0_-NONE-_0,,747499.0,2024-06-21,2025-07-23 00:00:00,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,25.1: Advisory and assistance services,BUGSEQ INC.,CALIFORNIA,DELAWARE,DEFINITIVE CONTRACT,THE CONTRACTOR SHALL PROVIDE DEVELOPMENT AND CLINICAL VALIDATION FROM METAGENOMICS DATA USING AI AND MACHINE LEARNING TECHNIQUES.,THE CONTRACTOR SHALL PROVIDE DEVELOPMENT AND CLINICAL VALIDATION FROM METAGENOMICS DATA USING AI AND MACHINE LEARNING TECHNIQUES.,HEALTH R&D SERVICES; HEALTH CARE SERVICES; R&D ADMINISTRATIVE EXPENSES,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",ENVIRONMENTALLY PREFERABLE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,NO PREFERENCE USED,,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
7524_-NONE-_75F40124D00022_0_-NONE-_-NONE-,,,2024-06-20,,Department of Health and Human Services,Food and Drug Administration,25.2: Other services from non-Federal sources,DIGIM SOLUTION LLC,MASSACHUSETTS,,,"3D MICROSCOPY, ARTIFICIAL INTELLIGENCE-BASED QUANTIFICATION, AND MODELING FOR NON-CLINICAL EVALUATION AND REGULATORY SUPPORT OF COMPLEX DRUG PRODUCTS","3D MICROSCOPY, ARTIFICIAL INTELLIGENCE-BASED QUANTIFICATION, AND MODELING FOR NON-CLINICAL EVALUATION AND REGULATORY SUPPORT OF COMPLEX DRUG PRODUCTS",SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY),NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO PREFERENCE USED,,,1.0,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,t,f,f,f,PARTNERSHIP
