contract_transaction_unique_key,parent_award_agency_name,current_total_value_of_award,period_of_performance_start_date,period_of_performance_potential_end_date,awarding_agency_name,funding_sub_agency_name,object_classes_funding_this_award,recipient_name,recipient_state_name,primary_place_of_performance_state_name,award_type,transaction_description,prime_award_base_transaction_description,product_or_service_code_description,naics_description,recovered_materials_sustainability,information_technology_commercial_item_category,extent_competed,solicitation_procedures,evaluated_preference,fair_opportunity_limited_sources,other_than_full_and_open_competition,number_of_offers_received,clinger_cohen_act_planning_code,materials_supplies_articles_equipment,labor_standards,performance_based_service_acquisition,contingency_humanitarian_or_peacekeeping_operation,woman_owned_business,minority_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,organizational_type
3600_3600_36C10X24F0078_P00001_36C10X24D0012_0,"VETERANS AFFAIRS, DEPARTMENT OF",183400.0,2024-07-03,2025-03-31 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,"VETERANS HEALTHCARE SUPPLY SOLUTIONS, INC",FLORIDA,MINNESOTA,DELIVERY ORDER,VHA ARTIFICIAL INTELLIGENCE MACHINES - COLONOSCOPY ORDER #2 MODIFICATION TO CHANGE PO NUMBERS,VHA ARTIFICIAL INTELLIGENCE MACHINES - COLONOSCOPY ORDER #2,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_3600_36C10X24F0078_0_36C10X24D0012_0,"VETERANS AFFAIRS, DEPARTMENT OF",183400.0,2024-07-03,2025-03-31 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,"VETERANS HEALTHCARE SUPPLY SOLUTIONS, INC",FLORIDA,MINNESOTA,DELIVERY ORDER,VHA ARTIFICIAL INTELLIGENCE MACHINES - COLONOSCOPY ORDER #2,VHA ARTIFICIAL INTELLIGENCE MACHINES - COLONOSCOPY ORDER #2,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_-NONE-_36C10B22C0042_P00002_-NONE-_0,,178119.96,2022-09-30,2024-12-30 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,INTELERAD MEDICAL SYSTEMS INC,QC,CALIFORNIA,DEFINITIVE CONTRACT,NATIONAL TELERADIOLOGY PROGRAM PICTURE ARCHIVING SYSTEM MAMMOGRAPHY LICENSE AND ARTIFICIAL INTELLIGENCE MODULE,NATIONAL TELERADIOLOGY PROGRAM PICTURE ARCHIVING SYSTEM MAMMOGRAPHY LICENSE AND ARTIFICIAL INTELLIGENCE MODULE,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",SOFTWARE PUBLISHERS,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT COMPETED,ONLY ONE SOURCE,NO PREFERENCE USED,,ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER),1.0,N,NO,NO,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,INTERNATIONAL ORG
3600_3600_36C24E23N0017_P00002_36C24E23D0006_0,"VETERANS AFFAIRS, DEPARTMENT OF",406003.0,2022-12-12,2023-12-11 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,GEORGE WASHINGTON UNIVERSITY (THE),DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DELIVERY ORDER,ARTIFICIAL INTELLIGENCE SUPPORT,ARTIFICIAL INTELLIGENCE SUPPORT,MEDICAL- LABORATORY TESTING,TESTING LABORATORIES AND SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),,Y,NOT APPLICABLE,YES,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE TAX EXEMPT
3600_8000_36C10B24F0110_0_NNG15SD26B_0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,380228.64,2024-04-11,2029-09-14 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,"THUNDERCAT TECHNOLOGY, LLC",VIRGINIA,CALIFORNIA,DELIVERY ORDER,VETERANS INTEGRATED SERVICE NETWORK (VISN) 21 RADIOLOGY ARTIFICIAL INTELLIGENCE (AI) PLATFORM,VETERANS INTEGRATED SERVICE NETWORK (VISN) 21 RADIOLOGY ARTIFICIAL INTELLIGENCE (AI) PLATFORM,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,2.0,N,NOT APPLICABLE,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_3600_36C10B22N00040003_P00003_36C10B21D0004_0,"VETERANS AFFAIRS, DEPARTMENT OF",3784035.25,2022-08-12,2025-04-11 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,25.1: Advisory and assistance services,"ODDBALL, INC.",DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DELIVERY ORDER,OPTION PERIOD 2 FOR MACHINE LEARNING DECISION SUPPORT,MACHINE LEARNING DECISION SUPPORT,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,3.0,Y,NO,NOT APPLICABLE,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_3600_36C10X24F0053_0_36C10X24A0003_0,"VETERANS AFFAIRS, DEPARTMENT OF",17486.9,2024-03-28,2024-05-31 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,AMERICAN SMALL BUSINESS ALLIANCE INC,MARYLAND,DISTRICT OF COLUMBIA,BPA CALL,ARTIFICIAL INTELLIGENCE (AI) TECH SPRINTS AWARD CEREMONY,ARTIFICIAL INTELLIGENCE (AI) TECH SPRINTS AWARD CEREMONY,LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES,ADVERTISING AGENCIES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,SOLE SOURCE,,,N,NOT APPLICABLE,NO,NO - SERVICE WHERE PBA IS NOT USED.,NOT APPLICABLE,f,t,t,f,f,CORPORATE NOT TAX EXEMPT
3600_-NONE-_36C10X24D0012_0_-NONE-_-NONE-,,,2024-04-01,,Department of Veterans Affairs,Department of Veterans Affairs,,"VETERANS HEALTHCARE SUPPLY SOLUTIONS, INC",FLORIDA,,,VHA ARTIFICIAL INTELLIGENCE MACHINES - COLONOSCOPY,VHA ARTIFICIAL INTELLIGENCE MACHINES - COLONOSCOPY,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,NO PREFERENCE USED,,AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1.0,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,CORPORATE NOT TAX EXEMPT
3600_-NONE-_36C10B22C0042_P00001_-NONE-_0,,144919.98,2022-09-30,2024-06-30 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,INTELERAD MEDICAL SYSTEMS INC,QC,CALIFORNIA,DEFINITIVE CONTRACT,NATIONAL TELERADIOLOGY PROGRAM PICTURE ARCHIVING SYSTEM MAMMOGRAPHY LICENSE AND ARTIFICIAL INTELLIGENCE MODULE,NATIONAL TELERADIOLOGY PROGRAM PICTURE ARCHIVING SYSTEM MAMMOGRAPHY LICENSE AND ARTIFICIAL INTELLIGENCE MODULE,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",SOFTWARE PUBLISHERS,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,,NOT COMPETED,ONLY ONE SOURCE,NO PREFERENCE USED,,ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER),1.0,N,NO,NO,NOT APPLICABLE,NOT APPLICABLE,f,f,f,f,f,INTERNATIONAL ORG
3600_4732_36C10X23F0092_P00002_47QTCA23D005Y_0,FEDERAL ACQUISITION SERVICE,2665376.2,2023-09-28,2025-09-27 00:00:00,Department of Veterans Affairs,Department of Veterans Affairs,,NATIONAL CONSULTING PARTNERS LLC,VIRGINIA,VIRGINIA,DELIVERY ORDER,VA TELECRITICAL CARE ADVANCED ANALYTICS & MACHINE LEARNING PROJECT,VA TELECRITICAL CARE ADVANCED ANALYTICS & MACHINE LEARNING PROJECT,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,NOT IT PRODUCTS OR SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO PREFERENCE USED,COMPETITIVE SET ASIDE,,3.0,Y,NOT APPLICABLE,NO,YES - SERVICE WHERE PBA IS USED.,NOT APPLICABLE,f,f,f,f,f,PARTNERSHIP
